# BUSCO version is: 6.0.0 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	SZZI01000089.1	37605	31683	-	1463.3	1239	https://v10-1.orthodb.org/?query=302at33634	S1 domain
693at33634	Complete	SZZI01000160.1	12601	9112	-	1634.5	925	https://v10-1.orthodb.org/?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	SZZI01000655.1	18178	15001	-	1357.9	788	https://v10-1.orthodb.org/?query=723at33634	Aminoacyl-tRNA synthetase, class Ia
971at33634	Complete	SZZI01000116.1	37362	33841	-	1411.0	837	https://v10-1.orthodb.org/?query=971at33634	Aminoacyl-tRNA synthetase, class Ia
1102at33634	Complete	SZZI01000014.1	90585	96009	+	1792.0	1156	https://v10-1.orthodb.org/?query=1102at33634	RNA polymerase Rpb1, domain 4
1326at33634	Complete	SZZI01000247.1	31472	18559	-	772.9	721	https://v10-1.orthodb.org/?query=1326at33634	MIF4G-like domain superfamily
1342at33634	Complete	SZZI01000332.1	238	3232	+	1192.2	724	https://v10-1.orthodb.org/?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	SZZI01000624.1	23700	26684	+	742.2	561	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
2880at33634	Complete	SZZI01000142.1	13979	19065	+	880.4	546	https://v10-1.orthodb.org/?query=2880at33634	AP complex subunit beta
3405at33634	Complete	SZZI01000146.1	34258	31396	-	1028.2	681	https://v10-1.orthodb.org/?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	SZZI01000012.1	116355	113809	-	1067.2	602	https://v10-1.orthodb.org/?query=3528at33634	Helicase, C-terminal
3786at33634	Complete	SZZI01000343.1	8225	6272	-	1033.3	527	https://v10-1.orthodb.org/?query=3786at33634	Heat shock protein 70 family
3834at33634	Complete	SZZI01000048.1	25397	27284	+	703.5	482	https://v10-1.orthodb.org/?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	SZZI01000163.1	8163	6211	-	814.7	496	https://v10-1.orthodb.org/?query=3835at33634	Methylglyoxal synthase-like domain
3892at33634	Complete	SZZI01000226.1	30655	32779	+	777.3	539	https://v10-1.orthodb.org/?query=3892at33634	Sda1
4148at33634	Complete	SZZI01000784.1	3102	1158	-	771.9	476	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4166at33634	Missing
4406at33634	Complete	SZZI01000026.1	9041	6173	-	693.2	435	https://v10-1.orthodb.org/?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	SZZI01000560.1	1555	3100	+	630.4	415	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
5144at33634	Complete	SZZI01000872.1	21766	23290	+	701.5	420	https://v10-1.orthodb.org/?query=5144at33634	Signal recognition particle, SRP54 subunit
