# BUSCO version is: 6.0.0 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	contig_97	97047	91146	-	1465.9	1251	https://v10-1.orthodb.org/?query=302at33634	S1 domain
693at33634	Complete	contig_20	754713	751212	-	1636.1	925	https://v10-1.orthodb.org/?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	contig_276	112587	109413	-	1361.1	788	https://v10-1.orthodb.org/?query=723at33634	Aminoacyl-tRNA synthetase, class Ia
971at33634	Complete	contig_180	140243	136727	-	1446.6	854	https://v10-1.orthodb.org/?query=971at33634	Aminoacyl-tRNA synthetase, class Ia
1102at33634	Complete	contig_491	442900	448342	+	1794.2	1204	https://v10-1.orthodb.org/?query=1102at33634	RNA polymerase Rpb1, domain 4
1326at33634	Complete	contig_61	306752	310526	+	762.4	723	https://v10-1.orthodb.org/?query=1326at33634	MIF4G-like domain superfamily
1342at33634	Complete	contig_45	1445437	1448440	+	1197.8	724	https://v10-1.orthodb.org/?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	contig_272	1074459	1077288	+	733.3	563	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
2880at33634	Complete	contig_216	903019	900397	-	878.3	546	https://v10-1.orthodb.org/?query=2880at33634	AP complex subunit beta
3405at33634	Complete	contig_689	160749	163611	+	1040.8	681	https://v10-1.orthodb.org/?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	contig_674	163114	165565	+	1072.3	627	https://v10-1.orthodb.org/?query=3528at33634	Helicase, C-terminal
3786at33634	Complete	contig_299	783878	781925	-	1032.4	527	https://v10-1.orthodb.org/?query=3786at33634	Heat shock protein 70 family
3834at33634	Complete	contig_20	76846	78754	+	702.1	482	https://v10-1.orthodb.org/?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	contig_156	1010566	1012408	+	835.5	501	https://v10-1.orthodb.org/?query=3835at33634	Methylglyoxal synthase-like domain
3892at33634	Complete	contig_349	512266	510160	-	770.7	539	https://v10-1.orthodb.org/?query=3892at33634	Sda1
4148at33634	Complete	contig_216	1106310	1108170	+	755.7	476	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4166at33634	Missing
4406at33634	Complete	contig_296	291544	288703	-	685.9	435	https://v10-1.orthodb.org/?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	contig_87	24381	25917	+	639.9	415	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
