# BUSCO version is: 6.0.0 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	CANTFL010001158.1	59961	54039	-	1463.3	1239	https://v10-1.orthodb.org/?query=302at33634	S1 domain
693at33634	Complete	CANTFL010000361.1	81162	77673	-	1634.9	925	https://v10-1.orthodb.org/?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	CANTFL010000090.1	112064	108887	-	1358.8	788	https://v10-1.orthodb.org/?query=723at33634	Aminoacyl-tRNA synthetase, class Ia
971at33634	Complete	CANTFL010001254.1	156536	153011	-	1437.0	854	https://v10-1.orthodb.org/?query=971at33634	Aminoacyl-tRNA synthetase, class Ia
1102at33634	Complete	CANTFL010001452.1	207397	201973	-	1792.0	1156	https://v10-1.orthodb.org/?query=1102at33634	RNA polymerase Rpb1, domain 4
1326at33634	Complete	CANTFL010001052.1	102666	106488	+	772.8	721	https://v10-1.orthodb.org/?query=1326at33634	MIF4G-like domain superfamily
1342at33634	Complete	CANTFL010001335.1	121244	124238	+	1192.2	724	https://v10-1.orthodb.org/?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	CANTFL010000204.1	58283	55435	-	743.9	566	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
2880at33634	Complete	CANTFL010001468.1	101928	108569	+	880.4	546	https://v10-1.orthodb.org/?query=2880at33634	AP complex subunit beta
3405at33634	Complete	CANTFL010001109.1	72375	69513	-	1028.2	681	https://v10-1.orthodb.org/?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	CANTFL010000086.1	417074	414617	-	1075.5	627	https://v10-1.orthodb.org/?query=3528at33634	Helicase, C-terminal
3786at33634	Complete	CANTFL010001445.1	571008	569055	-	1033.3	527	https://v10-1.orthodb.org/?query=3786at33634	Heat shock protein 70 family
3834at33634	Complete	CANTFL010001462.1	86383	84496	-	706.7	482	https://v10-1.orthodb.org/?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	CANTFL010001234.1	220445	222299	+	824.4	496	https://v10-1.orthodb.org/?query=3835at33634	Methylglyoxal synthase-like domain
3892at33634	Complete	CANTFL010001216.1	157155	159279	+	777.3	539	https://v10-1.orthodb.org/?query=3892at33634	Sda1
4148at33634	Complete	CANTFL010001467.1	292716	290856	-	760.3	476	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4166at33634	Missing
4406at33634	Complete	CANTFL010000086.1	1036169	1033270	-	693.1	435	https://v10-1.orthodb.org/?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	CANTFL010000634.1	311511	313056	+	630.4	415	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
5144at33634	Complete	CANTFL010001332.1	201951	200427	-	701.5	420	https://v10-1.orthodb.org/?query=5144at33634	Signal recognition particle, SRP54 subunit
5145at33634	Complete	CANTFL010001028.1	28666	27556	-	504.7	291	https://v10-1.orthodb.org/?query=5145at33634	WD40-repeat-containing domain
5578at33634	Complete	CANTFL010000673.1	59338	60848	+	741.7	373	https://v10-1.orthodb.org/?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	CANTFL010000106.1	239739	241994	+	785.5	497	https://v10-1.orthodb.org/?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
5964at33634	Complete	CANTFL010000977.1	12779	11012	-	506.2	417	https://v10-1.orthodb.org/?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	CANTFL010001488.1	204766	203251	-	840.2	453	https://v10-1.orthodb.org/?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
