# BUSCO version is: 6.0.0 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	LLKM01000103.1	25825	31726	+	1465.9	1251	https://v10-1.orthodb.org/?query=302at33634	S1 domain
693at33634	Complete	LLKM01000098.1	47551	51052	+	1636.1	925	https://v10-1.orthodb.org/?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	LLKM01001012.1	14991	11817	-	1361.1	788	https://v10-1.orthodb.org/?query=723at33634	Aminoacyl-tRNA synthetase, class Ia
971at33634	Complete	LLKM01000495.1	24667	28183	+	1446.6	854	https://v10-1.orthodb.org/?query=971at33634	Aminoacyl-tRNA synthetase, class Ia
1102at33634	Complete	LLKM01000996.1	17331	11889	-	1794.2	1204	https://v10-1.orthodb.org/?query=1102at33634	RNA polymerase Rpb1, domain 4
1326at33634	Complete	KQ478415.1	7680	11454	+	762.4	723	https://v10-1.orthodb.org/?query=1326at33634	MIF4G-like domain superfamily
1342at33634	Complete	LLKM01000232.1	26630	23627	-	1197.8	724	https://v10-1.orthodb.org/?query=1342at33634	Coatomer subunit beta
1803at33634	Duplicated	LLKM01004802.1	0	2646	+	624.6	571	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
1803at33634	Duplicated	KQ478395.1	9833	7004	-	733.3	563	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
2880at33634	Complete	LLKM01000328.1	289	2911	+	878.3	546	https://v10-1.orthodb.org/?query=2880at33634	AP complex subunit beta
3405at33634	Complete	LLKM01000640.1	16458	19320	+	1040.8	681	https://v10-1.orthodb.org/?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	LLKM01000879.1	8569	6118	-	1072.3	627	https://v10-1.orthodb.org/?query=3528at33634	Helicase, C-terminal
3786at33634	Complete	LLKM01000137.1	19847	21800	+	1032.4	527	https://v10-1.orthodb.org/?query=3786at33634	Heat shock protein 70 family
3834at33634	Complete	KQ478250.1	6942	8850	+	702.1	482	https://v10-1.orthodb.org/?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	KQ478383.1	12763	10921	-	835.5	501	https://v10-1.orthodb.org/?query=3835at33634	Methylglyoxal synthase-like domain
3892at33634	Complete	LLKM01000147.1	42851	44957	+	770.7	539	https://v10-1.orthodb.org/?query=3892at33634	Sda1
4148at33634	Complete	LLKM01000357.1	9396	11256	+	755.7	476	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4166at33634	Missing
4406at33634	Complete	LLKM01000655.1	4167	1326	-	685.9	435	https://v10-1.orthodb.org/?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	KQ478394.1	17339	15803	-	639.9	415	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
5144at33634	Complete	LLKM01000275.1	35130	33606	-	698.6	420	https://v10-1.orthodb.org/?query=5144at33634	Signal recognition particle, SRP54 subunit
5145at33634	Complete	LLKM01000057.1	41764	40654	-	503.4	291	https://v10-1.orthodb.org/?query=5145at33634	WD40-repeat-containing domain
5578at33634	Complete	KQ478252.1	36004	34491	-	741.5	373	https://v10-1.orthodb.org/?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	LLKM01000798.1	5726	7964	+	786.1	497	https://v10-1.orthodb.org/?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
5964at33634	Complete	LLKM01000331.1	5745	7494	+	510.2	418	https://v10-1.orthodb.org/?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	LLKM01000616.1	7137	5423	-	840.1	452	https://v10-1.orthodb.org/?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	LLKM01001043.1	11081	9641	-	787.1	411	https://v10-1.orthodb.org/?query=6436at33634	RNA helicase
6684at33634	Complete	LLKM01000081.1	51257	53000	+	725.6	437	https://v10-1.orthodb.org/?query=6684at33634	GroEL-like apical domain superfamily
6933at33634	Complete	LLKM01000630.1	33281	31814	-	603.4	341	https://v10-1.orthodb.org/?query=6933at33634	Nop domain
6981at33634	Complete	LLKM01000953.1	8789	5156	-	1345.0	872	https://v10-1.orthodb.org/?query=6981at33634	Exportin-1, C-terminal
6989at33634	Complete	LLKM01000562.1	21063	23136	+	715.9	477	https://v10-1.orthodb.org/?query=6989at33634	Pescadillo
7485at33634	Complete	LLKM01002119.1	5240	6965	+	461.6	342	https://v10-1.orthodb.org/?query=7485at33634	RNA helicase
8142at33634	Complete	LLKM01001748.1	563	1933	+	314.1	231	https://v10-1.orthodb.org/?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	LLKM01000044.1	92579	90377	-	355.4	277	https://v10-1.orthodb.org/?query=8760at33634	DNA glycosylase
8842at33634	Complete	LLKM01000907.1	15614	13971	-	619.1	339	https://v10-1.orthodb.org/?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	KQ478273.1	57019	55602	-	203.2	212	https://v10-1.orthodb.org/?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	LLKM01000421.1	7391	5905	-	654.6	378	https://v10-1.orthodb.org/?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	LLKM01000396.1	23499	24597	+	435.4	308	https://v10-1.orthodb.org/?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	LLKM01000381.1	30248	28672	-	452.9	320	https://v10-1.orthodb.org/?query=9413at33634	DNA primase
9731at33634	Complete	KQ478235.1	68256	65169	-	846.7	553	https://v10-1.orthodb.org/?query=9731at33634	AP-3 complex subunit delta
9939at33634	Complete	LLKM01002232.1	2664	816	-	525.8	388	https://v10-1.orthodb.org/?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Complete	LLKM01000046.1	41079	39588	-	348.3	275	https://v10-1.orthodb.org/?query=10123at33634	ALG11 mannosyltransferase
10425at33634	Complete	LLKM01000038.1	6525	5073	-	718.4	351	https://v10-1.orthodb.org/?query=10425at33634	Pseudouridine synthase, catalytic domain superfamily
10799at33634	Complete	KQ478288.1	15254	13772	-	572.8	362	https://v10-1.orthodb.org/?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Complete	LLKM01000129.1	47249	44864	-	641.8	378	https://v10-1.orthodb.org/?query=11504at33634	RNA helicase
12069at33634	Complete	LLKM01000188.1	10795	9662	-	424.3	265	https://v10-1.orthodb.org/?query=12069at33634	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
12249at33634	Complete	LLKM01001077.1	9364	7615	-	524.4	347	https://v10-1.orthodb.org/?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Complete	LLKM01000073.1	41423	40544	-	253.8	229	https://v10-1.orthodb.org/?query=12363at33634	Coatomer subunit epsilon
12382at33634	Complete	KQ478296.1	20034	18624	-	723.9	378	https://v10-1.orthodb.org/?query=12382at33634	Helicase, C-terminal
12562at33634	Complete	LLKM01000665.1	23021	25205	+	743.2	530	https://v10-1.orthodb.org/?query=12562at33634	WD40 repeat
12626at33634	Complete	LLKM01000280.1	31329	32931	+	457.9	323	https://v10-1.orthodb.org/?query=12626at33634	MFS transporter, PAT family, solute carrier family 33 (Acetyl-CoA transportor), member 1
12684at33634	Complete	LLKM01000012.1	70813	71869	+	345.6	243	https://v10-1.orthodb.org/?query=12684at33634	Polymerase, nucleotidyl transferase domain
12693at33634	Complete	LLKM01001262.1	3262	4513	+	324.8	295	https://v10-1.orthodb.org/?query=12693at33634	Tetratricopeptide repeat
13102at33634	Complete	LLKM01000121.1	40052	37625	-	590.5	402	https://v10-1.orthodb.org/?query=13102at33634	Large subunit GTPase 1
13476at33634	Complete	LLKM01002366.1	3516	4832	+	347.1	203	https://v10-1.orthodb.org/?query=13476at33634	Proteasome subunit beta type
13537at33634	Complete	LLKM01000044.1	100765	99534	-	383.7	220	https://v10-1.orthodb.org/?query=13537at33634	Methyltransferase type 11
13819at33634	Complete	LLKM01000161.1	2646	4161	+	555.5	345	https://v10-1.orthodb.org/?query=13819at33634	Ubiquitin-activating enzyme
