Assembly	Noks1.assembly.cleaned	GCA_000173235.2_HyaAraEmoy2_2.0_genomic	GCA_001414265.1_Cala2_v1_genomic	GCA_001414525.1_Noks1_v1_genomic
# contigs (>= 0 bp)	343	3108	9283	12086
# contigs (>= 1000 bp)	301	2042	9249	12086
# contigs (>= 5000 bp)	251	808	2885	2987
# contigs (>= 10000 bp)	233	506	1807	1822
# contigs (>= 25000 bp)	191	308	750	725
# contigs (>= 50000 bp)	153	239	206	185
Total length (>= 0 bp)	72075754	78380535	70257463	74456230
Total length (>= 1000 bp)	72049324	77790843	70232058	74456230
Total length (>= 5000 bp)	71911235	74236986	58469634	57034568
Total length (>= 10000 bp)	71785666	72064770	50770461	48820783
Total length (>= 25000 bp)	71073220	69064568	33822751	31401637
Total length (>= 50000 bp)	69667154	66666126	14838023	12680118
# contigs	338	2496	9278	12086
Largest contig	2536802	1234263	176502	159373
Total length	72073663	78128240	70255090	74456230
GC (%)	47.34	47.22	47.32	47.84
N50	746920	339722	23816	19328
N90	155557	16812	2329	1825
auN	905764.0	405477.9	31774.2	26879.8
L50	29	69	804	993
L90	102	370	4285	6454
# N's per 100 kbp	0.00	10231.40	15.72	24.81
